date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:39	119386/119386	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2005:55:08%20GMT	http://zircona.wgl-demo.net/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=6.0.6	D:/demo/template/product/zircona.wgl-demo.net/wp-content/plugins/revslider/public/assets/js/rbtools.minfc7a.js	(from http://zircona.wgl-demo.net/)
18:03:40	828/828	---M--	200	added ('OK')	text/xml	date:Thu,%2019%20Nov%202020%2012:33:40%20GMT	http://zircona.wgl-demo.net/xmlrpc.php?rsd	D:/demo/template/product/zircona.wgl-demo.net/xmlrpc0db0.php	(from http://zircona.wgl-demo.net/)
18:03:41	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	http://zircona.wgl-demo.net/wp-includes/wlwmanifest.xml	D:/demo/template/product/zircona.wgl-demo.net/wp-includes/wlwmanifest.xml	(from http://zircona.wgl-demo.net/)
18:03:43	2235/2235	---MC-	200	added ('OK')	application/json	date:Thu,%2019%20Nov%202020%2012:33:42%20GMT	http://zircona.wgl-demo.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fzircona.wgl-demo.net%2F	D:/demo/template/product/zircona.wgl-demo.net/wp-json/oembed/1.0/embedbdda.json	(from http://zircona.wgl-demo.net/)
18:03:45	2329/2329	---MC-	200	added ('OK')	text/xml	date:Thu,%2019%20Nov%202020%2012:33:44%20GMT	http://zircona.wgl-demo.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fzircona.wgl-demo.net%2F&format=xml	D:/demo/template/product/zircona.wgl-demo.net/wp-json/oembed/1.0/embed7f1d	(from http://zircona.wgl-demo.net/)
18:03:46	2626/2626	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202020%2010:46:33%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/06/cropped-favicon-32x32.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/06/cropped-favicon-32x32.png	(from http://zircona.wgl-demo.net/)
18:03:49	220509/220509	---MC-	200	added ('OK')	text/xml	date:Thu,%2019%20Nov%202020%2012:33:06%20GMT	http://zircona.wgl-demo.net/feed/	D:/demo/template/product/zircona.wgl-demo.net/feed/index.html	(from http://zircona.wgl-demo.net/)
18:03:49	19519/19519	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202020%2010:46:33%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/06/cropped-favicon-192x192.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/06/cropped-favicon-192x192.png	(from http://zircona.wgl-demo.net/)
18:03:52	10171/10171	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Apr%202020%2019:26:36%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/04/logo01.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/04/logo01.png	(from http://zircona.wgl-demo.net/)
18:03:52	18859/18859	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202020%2010:46:33%20GMT	http://zircona.wgl-demo.net/wp-content/uploads/2020/06/cropped-favicon-180x180.png	D:/demo/template/product/zircona.wgl-demo.net/wp-content/uploads/2020/06/cropped-favicon-180x180.png	(from http://zircona.wgl-demo.net/)
